URL,Status
http://abcnews.go.com/topics/entertainment/actors/bruce-jenner.htm,200
http://abcnews.go.com/topics/news/donald-trump.htm,200
http://abcnews.go.com/topics/news/us/supreme-court.htm,200
http://abcnews.go.com/topics/news/issues/transgender-issues.htm,200
http://abcnews.go.com/topics/news/issues/gavin-grimm.htm,200
http://abcnews.go.com/topics/news/us/jeff-sessions.htm,200
http://abcnews.go.com/topics/news/reporters/matt-lauer.htm,200
http://abcnews.go.com/topics/news/issues/lgbt-issues.htm,200
http://abcnews.go.com/amp/Politics/caitlyn-jenner-slams-trumps-reversal-transgender-bathroom-guidance/story?id=45700698,200
http://abcnews.go.com/Entertainment/flip-flop-star-christina-el-moussa-reveals-told/story?id=45711406,200
http://abcnews.go.com/Weird/wireStory/flushes-legislative-candidate-thrown-off-ballot-45718168,200
http://abcnews.go.com/topics/entertainment/actresses/susan-sarandon.htm,200
http://abcnews.go.com/topics/entertainment/film-festivals.htm,200
http://api.addthis.com/oexchange/0.8/forward/email/offer?cid=share_addthis_widget&title=Oscar%2Bcampaigns%3A%2BHow%2Bthey%2Bwork%2C%2Bwhy%2Bthey%2Bmatter%2Band%2Btheir%2Bquestionable%2Btactics&url=http%3A%2F%2Fabcnews.go.com%2FEntertainment%2Fcurtain-art-successful-oscar-campaign%2Fstory%3Fid%3D45666466,200
http://api.addthis.com/oexchange/0.8/forward/email/offer?cid=share_addthis_widget&title=Sunday%2Bon%2B%E2%80%98This%2BWeek%E2%80%99%3A%2BLeader%2BNancy%2BPelosi%2C%2BSarah%2BHuckabee%2BSanders%2C%2Band%2BRep.%2BJim%2BJordan&url=http%3A%2F%2Fabcnews.go.com%2FPolitics%2Fsunday-week-sarah-huckabee-sanders-rep-nancy-pelosi%2Fstory%3Fid%3D45722404,200
http://abcnews.go.com/amp/Politics/sunday-week-sarah-huckabee-sanders-rep-nancy-pelosi/story?id=45722404,200
