URL,Size,OutLinks,ContentType
http://abcnews.go.com/topics/news/issues/lgbt-issues.htm,45709,35,text/html
http://abcnews.go.com/amp/Politics/caitlyn-jenner-slams-trumps-reversal-transgender-bathroom-guidance/story?id=45700698,27763,15,text/html
http://abcnews.go.com/Entertainment/flip-flop-star-christina-el-moussa-reveals-told/story?id=45711406,72022,63,text/html
http://abcnews.go.com/Weird/wireStory/flushes-legislative-candidate-thrown-off-ballot-45718168,76002,66,text/html
http://abcnews.go.com/topics/entertainment/actresses/susan-sarandon.htm,50920,46,text/html
http://abcnews.go.com/topics/entertainment/film-festivals.htm,48228,37,text/html
http://abcnews.go.com/amp/Politics/sunday-week-sarah-huckabee-sanders-rep-nancy-pelosi/story?id=45722404,24511,7,text/html
http://abcnews.go.com/ThisWeek/tune-time-channel-area/story?id=6700408,79151,68,text/html
http://abcnews.go.com/Politics/caitlyn-jenner-slams-trumps-reversal-transgender-bathroom-guidance/story?id=45700698,73669,73,text/html
http://abcnews.go.com/International/wireStory/malaysia-awaits-lab-tests-nerve-agent-airport-45729988,81344,68,text/html
http://abcnews.go.com/Entertainment,231063,161,text/html
http://abcnews.go.com/US/wireStory/arkansas-supreme-court-strikes-citys-lgbt-protections-45685590,78859,70,text/html
http://abcnews.go.com/blotter,61337,76,text/html
http://abcnews.go.com/US/man-connected-connecticut-amber-alert-deported-2013-authorities/story?id=45724508,78177,75,text/html
http://abcnews.go.com/ipad,11479,21,text/html
http://abcnews.go.com/International,183950,114,text/html
http://abcnews.go.com/GMA/video/fred-armisen-portlandia-ending-goodbyes-45485693,80916,86,text/html
http://abcnews.go.com/Lifestyle/lost-antique-engagement-ring-found-comments-section-georgia/story?id=45711549,81303,71,text/html
http://abcnews.go.com/business,170431,106,text/html
http://abcnews.go.com/US/wireStory/florida-sailor-accused-deserting-post-baby-45712833,72903,67,text/html
http://abcnews.go.com/US/photos/black-lives-matter-movement-photos-44402442,121611,81,text/html
http://abcnews.go.com/International/year-syrian-girl-reunites-family-us-months/story?id=45734293,78717,74,text/html
http://abcnews.go.com/technology,181941,111,text/html
http://abcnews.go.com/Politics/news-outlets-excluded-white-house-press-secretarys-gaggle/story?id=45718876,73457,72,text/html
http://abcnews.go.com/primetime,55573,46,text/html
http://abcnews.go.com/Business/sharks-shark-tank-dish-biggest-regrets-best-deals/story?id=45718404,75994,70,text/html
http://abcnews.go.com/topics/,46197,115,text/html
